tick_num,received_at,instrument,ts,ts_ist,ltp,bid,ask,volume,oi,iv_pct,theta,strike,expiry
1,2026-03-13 15:43:02.701,NSE_INDEX|Nifty 50,1773373508076,2026-03-13 09:15:08,23449.05,23425.6,23472.5,1,0.0,0.0,0.0,,None
2,2026-03-13 15:43:05.639,NSE_INDEX|Nifty 50,1773373508471,2026-03-13 09:15:08,23431.6,23408.17,23455.03,2,0.0,0.0,0.0,,None
3,2026-03-13 15:43:05.639,NSE_INDEX|Nifty 50,1773373510451,2026-03-13 09:15:10,23438.3,23414.86,23461.74,3,0.0,0.0,0.0,,None
4,2026-03-13 15:43:05.640,NSE_INDEX|Nifty 50,1773373510980,2026-03-13 09:15:10,23445.35,23421.9,23468.8,4,0.0,0.0,0.0,,None
5,2026-03-13 15:43:05.641,NSE_INDEX|Nifty 50,1773373511476,2026-03-13 09:15:11,23443.0,23419.56,23466.44,5,0.0,0.0,0.0,,None
6,2026-03-13 15:43:05.641,NSE_INDEX|Nifty 50,1773373511943,2026-03-13 09:15:11,23442.5,23419.06,23465.94,6,0.0,0.0,0.0,,None
7,2026-03-13 15:43:05.642,NSE_INDEX|Nifty 50,1773373512485,2026-03-13 09:15:12,23442.85,23419.41,23466.29,7,0.0,0.0,0.0,,None
8,2026-03-13 15:43:05.642,NSE_INDEX|Nifty 50,1773373512964,2026-03-13 09:15:12,23427.9,23404.47,23451.33,8,0.0,0.0,0.0,,None
9,2026-03-13 15:43:05.643,NSE_INDEX|Nifty 50,1773373513944,2026-03-13 09:15:13,23425.95,23402.52,23449.38,9,0.0,0.0,0.0,,None
10,2026-03-13 15:43:05.643,NSE_INDEX|Nifty 50,1773373514518,2026-03-13 09:15:14,23427.6,23404.17,23451.03,10,0.0,0.0,0.0,,None
11,2026-03-13 15:43:05.644,NSE_INDEX|Nifty 50,1773373514960,2026-03-13 09:15:14,23421.55,23398.13,23444.97,11,0.0,0.0,0.0,,None
12,2026-03-13 15:43:05.644,NSE_INDEX|Nifty 50,1773373515503,2026-03-13 09:15:15,23432.3,23408.87,23455.73,12,0.0,0.0,0.0,,None
13,2026-03-13 15:43:05.645,NSE_INDEX|Nifty 50,1773373515943,2026-03-13 09:15:15,23433.75,23410.32,23457.18,13,0.0,0.0,0.0,,None
14,2026-03-13 15:43:05.645,NSE_INDEX|Nifty 50,1773373516487,2026-03-13 09:15:16,23441.0,23417.56,23464.44,14,0.0,0.0,0.0,,None
15,2026-03-13 15:43:05.646,NSE_INDEX|Nifty 50,1773373516941,2026-03-13 09:15:16,23447.75,23424.3,23471.2,15,0.0,0.0,0.0,,None
16,2026-03-13 15:43:05.646,NSE_INDEX|Nifty 50,1773373517480,2026-03-13 09:15:17,23451.7,23428.25,23475.15,16,0.0,0.0,0.0,,None
17,2026-03-13 15:43:05.647,NSE_INDEX|Nifty 50,1773373518474,2026-03-13 09:15:18,23457.35,23433.89,23480.81,17,0.0,0.0,0.0,,None
18,2026-03-13 15:43:05.647,NSE_INDEX|Nifty 50,1773373518964,2026-03-13 09:15:18,23457.8,23434.34,23481.26,18,0.0,0.0,0.0,,None
19,2026-03-13 15:43:05.648,NSE_INDEX|Nifty 50,1773373520031,2026-03-13 09:15:20,23459.1,23435.64,23482.56,19,0.0,0.0,0.0,,None
20,2026-03-13 15:43:05.648,NSE_INDEX|Nifty 50,1773373520453,2026-03-13 09:15:20,23451.3,23427.85,23474.75,20,0.0,0.0,0.0,,None
21,2026-03-13 15:43:05.649,NSE_INDEX|Nifty 50,1773373521010,2026-03-13 09:15:21,23449.85,23426.4,23473.3,21,0.0,0.0,0.0,,None
22,2026-03-13 15:43:05.649,NSE_INDEX|Nifty 50,1773373521443,2026-03-13 09:15:21,23444.2,23420.76,23467.64,22,0.0,0.0,0.0,,None
23,2026-03-13 15:43:05.649,NSE_INDEX|Nifty 50,1773373522038,2026-03-13 09:15:22,23449.05,23425.6,23472.5,23,0.0,0.0,0.0,,None
24,2026-03-13 15:43:05.650,NSE_INDEX|Nifty 50,1773373524514,2026-03-13 09:15:24,23455.2,23431.74,23478.66,24,0.0,0.0,0.0,,None
25,2026-03-13 15:43:05.651,NSE_INDEX|Nifty 50,1773373525954,2026-03-13 09:15:25,23458.1,23434.64,23481.56,25,0.0,0.0,0.0,,None
26,2026-03-13 15:43:05.651,NSE_INDEX|Nifty 50,1773373526517,2026-03-13 09:15:26,23458.8,23435.34,23482.26,26,0.0,0.0,0.0,,None
27,2026-03-13 15:43:05.652,NSE_INDEX|Nifty 50,1773373527500,2026-03-13 09:15:27,23459.6,23436.14,23483.06,27,0.0,0.0,0.0,,None
28,2026-03-13 15:43:05.652,NSE_INDEX|Nifty 50,1773373528555,2026-03-13 09:15:28,23460.55,23437.09,23484.01,28,0.0,0.0,0.0,,None
29,2026-03-13 15:43:05.653,NSE_INDEX|Nifty 50,1773373528943,2026-03-13 09:15:28,23460.3,23436.84,23483.76,29,0.0,0.0,0.0,,None
30,2026-03-13 15:43:05.653,NSE_INDEX|Nifty 50,1773373529530,2026-03-13 09:15:29,23459.2,23435.74,23482.66,30,0.0,0.0,0.0,,None
31,2026-03-13 15:43:05.654,NSE_INDEX|Nifty 50,1773373532443,2026-03-13 09:15:32,23459.8,23436.34,23483.26,31,0.0,0.0,0.0,,None
32,2026-03-13 15:43:05.654,NSE_INDEX|Nifty 50,1773373533003,2026-03-13 09:15:33,23459.35,23435.89,23482.81,32,0.0,0.0,0.0,,None
33,2026-03-13 15:43:05.655,NSE_INDEX|Nifty 50,1773373533443,2026-03-13 09:15:33,23460.55,23437.09,23484.01,33,0.0,0.0,0.0,,None
34,2026-03-13 15:43:05.655,NSE_INDEX|Nifty 50,1773373533963,2026-03-13 09:15:33,23459.4,23435.94,23482.86,34,0.0,0.0,0.0,,None
35,2026-03-13 15:43:05.655,NSE_INDEX|Nifty 50,1773373534435,2026-03-13 09:15:34,23460.1,23436.64,23483.56,35,0.0,0.0,0.0,,None
36,2026-03-13 15:43:05.656,NSE_INDEX|Nifty 50,1773373535446,2026-03-13 09:15:35,23459.95,23436.49,23483.41,36,0.0,0.0,0.0,,None
37,2026-03-13 15:43:05.656,NSE_INDEX|Nifty 50,1773373536068,2026-03-13 09:15:36,23459.85,23436.39,23483.31,37,0.0,0.0,0.0,,None
38,2026-03-13 15:43:05.657,NSE_INDEX|Nifty 50,1773373536965,2026-03-13 09:15:36,23460.8,23437.34,23484.26,38,0.0,0.0,0.0,,None
39,2026-03-13 15:43:05.657,NSE_INDEX|Nifty 50,1773373537458,2026-03-13 09:15:37,23460.3,23436.84,23483.76,39,0.0,0.0,0.0,,None
40,2026-03-13 15:43:05.658,NSE_INDEX|Nifty 50,1773373537944,2026-03-13 09:15:37,23457.6,23434.14,23481.06,40,0.0,0.0,0.0,,None
41,2026-03-13 15:43:05.658,NSE_INDEX|Nifty 50,1773373539009,2026-03-13 09:15:39,23457.5,23434.04,23480.96,41,0.0,0.0,0.0,,None
42,2026-03-13 15:43:05.659,NSE_INDEX|Nifty 50,1773373539944,2026-03-13 09:15:39,23459.6,23436.14,23483.06,42,0.0,0.0,0.0,,None
43,2026-03-13 15:43:05.660,NSE_INDEX|Nifty 50,1773373540551,2026-03-13 09:15:40,23458.6,23435.14,23482.06,43,0.0,0.0,0.0,,None
44,2026-03-13 15:43:05.660,NSE_INDEX|Nifty 50,1773373540944,2026-03-13 09:15:40,23459.75,23436.29,23483.21,44,0.0,0.0,0.0,,None
45,2026-03-13 15:43:05.660,NSE_INDEX|Nifty 50,1773373541941,2026-03-13 09:15:41,23461.25,23437.79,23484.71,45,0.0,0.0,0.0,,None
46,2026-03-13 15:43:05.661,NSE_INDEX|Nifty 50,1773373543470,2026-03-13 09:15:43,23458.95,23435.49,23482.41,46,0.0,0.0,0.0,,None
47,2026-03-13 15:43:05.661,NSE_INDEX|Nifty 50,1773373543998,2026-03-13 09:15:43,23458.35,23434.89,23481.81,47,0.0,0.0,0.0,,None
48,2026-03-13 15:43:05.662,NSE_INDEX|Nifty 50,1773373544450,2026-03-13 09:15:44,23456.05,23432.59,23479.51,48,0.0,0.0,0.0,,None
49,2026-03-13 15:43:05.662,NSE_INDEX|Nifty 50,1773373545067,2026-03-13 09:15:45,23459.2,23435.74,23482.66,49,0.0,0.0,0.0,,None
50,2026-03-13 15:43:05.663,NSE_INDEX|Nifty 50,1773373545448,2026-03-13 09:15:45,23461.8,23438.34,23485.26,50,0.0,0.0,0.0,,None
51,2026-03-13 15:43:05.663,NSE_INDEX|Nifty 50,1773373546445,2026-03-13 09:15:46,23460.65,23437.19,23484.11,51,0.0,0.0,0.0,,None
52,2026-03-13 15:43:05.663,NSE_INDEX|Nifty 50,1773373546997,2026-03-13 09:15:46,23462.3,23438.84,23485.76,52,0.0,0.0,0.0,,None
53,2026-03-13 15:43:05.664,NSE_INDEX|Nifty 50,1773373547444,2026-03-13 09:15:47,23461.55,23438.09,23485.01,53,0.0,0.0,0.0,,None
54,2026-03-13 15:43:05.664,NSE_INDEX|Nifty 50,1773373548048,2026-03-13 09:15:48,23460.8,23437.34,23484.26,54,0.0,0.0,0.0,,None
55,2026-03-13 15:43:05.665,NSE_INDEX|Nifty 50,1773373548467,2026-03-13 09:15:48,23466.55,23443.08,23490.02,55,0.0,0.0,0.0,,None
