ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:01+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:02+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:03+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:04+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:05+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:06+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:07+05:30,NIFTY2611326000CE,26000.0,2026-01-13,51.7,13927550.0
2026-01-09 09:15:08+05:30,NIFTY2611326000CE,26000.0,2026-01-13,52.9,13927550.0
2026-01-09 09:15:09+05:30,NIFTY2611326000CE,26000.0,2026-01-13,52.9,13927550.0
2026-01-09 09:15:10+05:30,NIFTY2611326000CE,26000.0,2026-01-13,52.9,13927550.0
2026-01-09 09:15:11+05:30,NIFTY2611326000CE,26000.0,2026-01-13,53.35,13927550.0
2026-01-09 09:15:12+05:30,NIFTY2611326000CE,26000.0,2026-01-13,53.35,13927550.0
2026-01-09 09:15:13+05:30,NIFTY2611326000CE,26000.0,2026-01-13,53.1,13927550.0
2026-01-09 09:15:14+05:30,NIFTY2611326000CE,26000.0,2026-01-13,54.5,13927550.0
2026-01-09 09:15:15+05:30,NIFTY2611326000CE,26000.0,2026-01-13,54.5,13927550.0
2026-01-09 09:15:16+05:30,NIFTY2611326000CE,26000.0,2026-01-13,54.3,13927550.0
2026-01-09 09:15:17+05:30,NIFTY2611326000CE,26000.0,2026-01-13,54.3,13927550.0
2026-01-09 09:15:18+05:30,NIFTY2611326000CE,26000.0,2026-01-13,53.8,13927550.0
2026-01-09 09:15:19+05:30,NIFTY2611326000CE,26000.0,2026-01-13,53.8,13927550.0
2026-01-09 09:15:20+05:30,NIFTY2611326000CE,26000.0,2026-01-13,57.5,13927550.0
2026-01-09 09:15:21+05:30,NIFTY2611326000CE,26000.0,2026-01-13,57.5,13927550.0
2026-01-09 09:15:22+05:30,NIFTY2611326000CE,26000.0,2026-01-13,57.5,13927550.0
2026-01-09 09:15:23+05:30,NIFTY2611326000CE,26000.0,2026-01-13,57.5,13927550.0
2026-01-09 09:15:24+05:30,NIFTY2611326000CE,26000.0,2026-01-13,58.45,13927550.0
2026-01-09 09:15:25+05:30,NIFTY2611326000CE,26000.0,2026-01-13,58.3,13927550.0
2026-01-09 09:15:26+05:30,NIFTY2611326000CE,26000.0,2026-01-13,59.5,13927550.0
2026-01-09 09:15:27+05:30,NIFTY2611326000CE,26000.0,2026-01-13,59.5,13927550.0
2026-01-09 09:15:28+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.9,13927550.0
2026-01-09 09:15:29+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.2,13927550.0
2026-01-09 09:15:30+05:30,NIFTY2611326000CE,26000.0,2026-01-13,59.9,13927550.0
2026-01-09 09:15:31+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.9,13927550.0
2026-01-09 09:15:32+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.9,13927550.0
2026-01-09 09:15:33+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.45,13927550.0
2026-01-09 09:15:34+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.65,13927550.0
2026-01-09 09:15:35+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.65,13927550.0
2026-01-09 09:15:36+05:30,NIFTY2611326000CE,26000.0,2026-01-13,61.6,13927550.0
2026-01-09 09:15:37+05:30,NIFTY2611326000CE,26000.0,2026-01-13,61.6,13927550.0
2026-01-09 09:15:38+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.0,13927550.0
2026-01-09 09:15:39+05:30,NIFTY2611326000CE,26000.0,2026-01-13,60.35,13927550.0
2026-01-09 09:15:40+05:30,NIFTY2611326000CE,26000.0,2026-01-13,61.35,13927550.0
2026-01-09 09:15:41+05:30,NIFTY2611326000CE,26000.0,2026-01-13,61.95,13927550.0
2026-01-09 09:15:42+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.7,13927550.0
2026-01-09 09:15:43+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.85,13927550.0
2026-01-09 09:15:44+05:30,NIFTY2611326000CE,26000.0,2026-01-13,62.6,13927550.0
2026-01-09 09:15:45+05:30,NIFTY2611326000CE,26000.0,2026-01-13,59.85,13927550.0
2026-01-09 09:15:46+05:30,NIFTY2611326000CE,26000.0,2026-01-13,61.2,13927550.0
