ts,instrument,strike,expiry,ltp,oi
2026-01-09 09:15:00+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:01+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:02+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:03+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:04+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:05+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:06+05:30,NIFTY2611326050PE,26050.0,2026-01-13,178.15,1445210.0
2026-01-09 09:15:07+05:30,NIFTY2611326050PE,26050.0,2026-01-13,173.8,1445210.0
2026-01-09 09:15:08+05:30,NIFTY2611326050PE,26050.0,2026-01-13,173.8,1445210.0
2026-01-09 09:15:09+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.1,1445210.0
2026-01-09 09:15:10+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.7,1445210.0
2026-01-09 09:15:11+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.7,1445210.0
2026-01-09 09:15:12+05:30,NIFTY2611326050PE,26050.0,2026-01-13,171.75,1445210.0
2026-01-09 09:15:13+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.0,1445210.0
2026-01-09 09:15:14+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.0,1445210.0
2026-01-09 09:15:15+05:30,NIFTY2611326050PE,26050.0,2026-01-13,172.5,1445210.0
2026-01-09 09:15:16+05:30,NIFTY2611326050PE,26050.0,2026-01-13,170.15,1445210.0
2026-01-09 09:15:17+05:30,NIFTY2611326050PE,26050.0,2026-01-13,171.2,1445210.0
2026-01-09 09:15:18+05:30,NIFTY2611326050PE,26050.0,2026-01-13,171.2,1445210.0
2026-01-09 09:15:19+05:30,NIFTY2611326050PE,26050.0,2026-01-13,174.35,1445210.0
2026-01-09 09:15:20+05:30,NIFTY2611326050PE,26050.0,2026-01-13,170.15,1445210.0
2026-01-09 09:15:21+05:30,NIFTY2611326050PE,26050.0,2026-01-13,170.35,1445210.0
2026-01-09 09:15:22+05:30,NIFTY2611326050PE,26050.0,2026-01-13,170.1,1445210.0
2026-01-09 09:15:23+05:30,NIFTY2611326050PE,26050.0,2026-01-13,169.9,1445210.0
2026-01-09 09:15:24+05:30,NIFTY2611326050PE,26050.0,2026-01-13,167.65,1445210.0
2026-01-09 09:15:25+05:30,NIFTY2611326050PE,26050.0,2026-01-13,164.0,1445210.0
2026-01-09 09:15:26+05:30,NIFTY2611326050PE,26050.0,2026-01-13,164.0,1445210.0
2026-01-09 09:15:27+05:30,NIFTY2611326050PE,26050.0,2026-01-13,164.0,1445210.0
2026-01-09 09:15:28+05:30,NIFTY2611326050PE,26050.0,2026-01-13,160.5,1445210.0
2026-01-09 09:15:29+05:30,NIFTY2611326050PE,26050.0,2026-01-13,160.5,1445210.0
2026-01-09 09:15:30+05:30,NIFTY2611326050PE,26050.0,2026-01-13,163.45,1445210.0
2026-01-09 09:15:31+05:30,NIFTY2611326050PE,26050.0,2026-01-13,163.45,1445210.0
2026-01-09 09:15:32+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.2,1445210.0
2026-01-09 09:15:33+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.2,1445210.0
2026-01-09 09:15:34+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.2,1445210.0
2026-01-09 09:15:35+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.2,1445210.0
2026-01-09 09:15:36+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.2,1445210.0
2026-01-09 09:15:37+05:30,NIFTY2611326050PE,26050.0,2026-01-13,158.2,1445210.0
2026-01-09 09:15:38+05:30,NIFTY2611326050PE,26050.0,2026-01-13,156.35,1445210.0
2026-01-09 09:15:39+05:30,NIFTY2611326050PE,26050.0,2026-01-13,160.1,1445210.0
2026-01-09 09:15:40+05:30,NIFTY2611326050PE,26050.0,2026-01-13,158.25,1445210.0
2026-01-09 09:15:41+05:30,NIFTY2611326050PE,26050.0,2026-01-13,157.25,1445210.0
2026-01-09 09:15:42+05:30,NIFTY2611326050PE,26050.0,2026-01-13,158.05,1445210.0
2026-01-09 09:15:43+05:30,NIFTY2611326050PE,26050.0,2026-01-13,156.7,1445210.0
2026-01-09 09:15:44+05:30,NIFTY2611326050PE,26050.0,2026-01-13,159.25,1445210.0
2026-01-09 09:15:45+05:30,NIFTY2611326050PE,26050.0,2026-01-13,162.0,1445210.0
2026-01-09 09:15:46+05:30,NIFTY2611326050PE,26050.0,2026-01-13,164.9,1445210.0
2026-01-09 09:15:47+05:30,NIFTY2611326050PE,26050.0,2026-01-13,161.2,1445210.0
2026-01-09 09:15:48+05:30,NIFTY2611326050PE,26050.0,2026-01-13,163.35,1445210.0
2026-01-09 09:15:49+05:30,NIFTY2611326050PE,26050.0,2026-01-13,163.75,1445210.0
2026-01-09 09:15:50+05:30,NIFTY2611326050PE,26050.0,2026-01-13,165.4,1445210.0
2026-01-09 09:15:51+05:30,NIFTY2611326050PE,26050.0,2026-01-13,165.4,1445210.0
2026-01-09 09:15:52+05:30,NIFTY2611326050PE,26050.0,2026-01-13,167.25,1445210.0
2026-01-09 09:15:53+05:30,NIFTY2611326050PE,26050.0,2026-01-13,167.05,1445210.0
2026-01-09 09:15:54+05:30,NIFTY2611326050PE,26050.0,2026-01-13,169.95,1445210.0
2026-01-09 09:15:55+05:30,NIFTY2611326050PE,26050.0,2026-01-13,171.8,1445210.0
2026-01-09 09:15:56+05:30,NIFTY2611326050PE,26050.0,2026-01-13,171.35,1445210.0
2026-01-09 09:15:57+05:30,NIFTY2611326050PE,26050.0,2026-01-13,175.95,1445210.0
2026-01-09 09:15:58+05:30,NIFTY2611326050PE,26050.0,2026-01-13,175.9,1445210.0
2026-01-09 09:15:59+05:30,NIFTY2611326050PE,26050.0,2026-01-13,173.15,1445210.0
2026-01-09 09:16:00+05:30,NIFTY2611326050PE,26050.0,2026-01-13,169.55,1445210.0
2026-01-09 09:16:01+05:30,NIFTY2611326050PE,26050.0,2026-01-13,169.45,1445210.0
