ts,instrument,strike,expiry,ltp,oi
2026-01-05 09:15:00+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:01+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:02+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:03+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:04+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:05+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:06+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:07+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:08+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:09+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:10+05:30,NIFTY2610626300CE,26300.0,2026-01-06,106.75,8258900.0
2026-01-05 09:15:11+05:30,NIFTY2610626300CE,26300.0,2026-01-06,107.7,8258900.0
2026-01-05 09:15:12+05:30,NIFTY2610626300CE,26300.0,2026-01-06,107.7,8258900.0
2026-01-05 09:15:13+05:30,NIFTY2610626300CE,26300.0,2026-01-06,107.7,8258900.0
2026-01-05 09:15:14+05:30,NIFTY2610626300CE,26300.0,2026-01-06,107.85,8258900.0
2026-01-05 09:15:15+05:30,NIFTY2610626300CE,26300.0,2026-01-06,113.3,8258900.0
2026-01-05 09:15:16+05:30,NIFTY2610626300CE,26300.0,2026-01-06,113.3,8258900.0
2026-01-05 09:15:17+05:30,NIFTY2610626300CE,26300.0,2026-01-06,113.3,8258900.0
2026-01-05 09:15:18+05:30,NIFTY2610626300CE,26300.0,2026-01-06,114.1,8258900.0
2026-01-05 09:15:19+05:30,NIFTY2610626300CE,26300.0,2026-01-06,114.1,8258900.0
2026-01-05 09:15:20+05:30,NIFTY2610626300CE,26300.0,2026-01-06,114.05,8258900.0
2026-01-05 09:15:21+05:30,NIFTY2610626300CE,26300.0,2026-01-06,114.85,8258900.0
2026-01-05 09:15:22+05:30,NIFTY2610626300CE,26300.0,2026-01-06,114.85,8258900.0
2026-01-05 09:15:23+05:30,NIFTY2610626300CE,26300.0,2026-01-06,113.5,8258900.0
