ts,instrument,strike,expiry,ltp,oi
2026-01-07 09:15:00+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:01+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:02+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:03+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:04+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:05+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:06+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:07+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:08+05:30,NIFTY2611326350PE,26350.0,2026-01-13,239.55,557375.0
2026-01-07 09:15:09+05:30,NIFTY2611326350PE,26350.0,2026-01-13,243.75,557375.0
2026-01-07 09:15:10+05:30,NIFTY2611326350PE,26350.0,2026-01-13,243.75,557375.0
2026-01-07 09:15:11+05:30,NIFTY2611326350PE,26350.0,2026-01-13,242.7,557375.0
2026-01-07 09:15:12+05:30,NIFTY2611326350PE,26350.0,2026-01-13,244.8,557375.0
2026-01-07 09:15:13+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.6,557375.0
2026-01-07 09:15:14+05:30,NIFTY2611326350PE,26350.0,2026-01-13,250.85,557375.0
2026-01-07 09:15:15+05:30,NIFTY2611326350PE,26350.0,2026-01-13,250.85,557375.0
2026-01-07 09:15:16+05:30,NIFTY2611326350PE,26350.0,2026-01-13,251.2,557375.0
2026-01-07 09:15:17+05:30,NIFTY2611326350PE,26350.0,2026-01-13,251.2,557375.0
2026-01-07 09:15:18+05:30,NIFTY2611326350PE,26350.0,2026-01-13,249.55,557375.0
2026-01-07 09:15:19+05:30,NIFTY2611326350PE,26350.0,2026-01-13,249.55,557375.0
2026-01-07 09:15:20+05:30,NIFTY2611326350PE,26350.0,2026-01-13,248.7,557375.0
2026-01-07 09:15:21+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.95,557375.0
2026-01-07 09:15:22+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.95,557375.0
2026-01-07 09:15:23+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.2,557375.0
2026-01-07 09:15:24+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.9,557375.0
2026-01-07 09:15:25+05:30,NIFTY2611326350PE,26350.0,2026-01-13,246.65,557375.0
2026-01-07 09:15:26+05:30,NIFTY2611326350PE,26350.0,2026-01-13,253.2,557375.0
2026-01-07 09:15:27+05:30,NIFTY2611326350PE,26350.0,2026-01-13,251.25,557375.0
2026-01-07 09:15:28+05:30,NIFTY2611326350PE,26350.0,2026-01-13,251.65,557375.0
2026-01-07 09:15:29+05:30,NIFTY2611326350PE,26350.0,2026-01-13,248.8,557375.0
2026-01-07 09:15:30+05:30,NIFTY2611326350PE,26350.0,2026-01-13,247.4,557375.0
2026-01-07 09:15:31+05:30,NIFTY2611326350PE,26350.0,2026-01-13,249.0,557375.0
2026-01-07 09:15:32+05:30,NIFTY2611326350PE,26350.0,2026-01-13,247.5,557375.0
2026-01-07 09:15:33+05:30,NIFTY2611326350PE,26350.0,2026-01-13,244.85,557375.0
2026-01-07 09:15:34+05:30,NIFTY2611326350PE,26350.0,2026-01-13,243.05,557375.0
2026-01-07 09:15:35+05:30,NIFTY2611326350PE,26350.0,2026-01-13,240.95,557375.0
2026-01-07 09:15:36+05:30,NIFTY2611326350PE,26350.0,2026-01-13,242.4,557375.0
